sample_index;real;imag;amplitude;phase_rad
184;-1,4177004099;-1,2560628653;1,8940877914;-2,4165742397
185;-1,4134720564;-1,7959626913;2,2854726315;-2,2375769615
186;-1,4177005291;-1,6573590040;2,1809892654;-2,2784154415
187;-1,4134721756;0,3064201772;1,4463045597;2,9281105995
188;-1,4177005291;1,6827499866;2,2003457546;2,2709143162
189;-1,4134721756;0,3064201176;1,4463045597;2,9281105995
190;-1,4177004099;-1,6573588848;2,1809890270;-2,2784154415
191;-1,4134721756;-1,7959628105;2,2854728699;-2,2375769615
192;-1,4177004099;-1,2560628653;1,8940877914;-2,4165742397
193;-1,4134720564;-1,3409861326;1,9483704567;-2,3825042248
194;-1,4177005291;-1,4897298813;2,0564947128;-2,3314254284
195;-1,4134721756;-1,3863840103;1,9798899889;-2,3658690453
196;-1,4177005291;-1,4119191170;2,0008475780;-2,3582377434
197;-1,4134721756;-1,4463734627;2,0223500729;-2,3446903229
198;-1,4177004099;-1,3915539980;1,9865288734;-2,3655014038
199;-1,4134721756;-1,4108970165;1,9971313477;-2,3571062088
200;-1,4177004099;-1,4347372055;2,0170140266;-2,3502218723
201;-1,4134720564;-1,3970193863;1,9873516560;-2,3620483875
202;-1,4177005291;-1,4237962961;2,0092463493;-2,3540492058
203;-1,4134721756;-1,4231020212;2,0057723522;-2,3527996540
204;-1,4177005291;-1,4002397060;1,9926229715;-2,3623907566
205;-1,4134721756;-1,4231022596;2,0057725906;-2,3527994156
206;-1,4177004099;-1,4237962961;2,0092461109;-2,3540492058
207;-1,4134721756;-1,3970193863;1,9873516560;-2,3620483875
208;-1,4177004099;-1,4347372055;2,0170140266;-2,3502218723
209;-1,4134720564;-1,4108970165;1,9971313477;-2,3571062088
210;-1,4177005291;-1,3915539980;1,9865288734;-2,3655014038
211;-1,4134721756;-1,4463734627;2,0223500729;-2,3446903229
212;-1,4177005291;-1,4119191170;2,0008475780;-2,3582377434
213;-1,4134721756;-1,3863840103;1,9798899889;-2,3658690453
214;-1,4177004099;-1,4897297621;2,0564944744;-2,3314254284
215;-1,4134721756;-1,3409862518;1,9483705759;-2,3825042248
216;-1,4177004099;-1,2560628653;1,8940877914;-2,4165742397
217;-1,4134720564;-1,7959626913;2,2854726315;-2,2375769615
218;-1,4177005291;-1,6573590040;2,1809892654;-2,2784154415
219;-1,4134721756;0,3064201772;1,4463045597;2,9281105995
