sample_index;real;imag;amplitude;phase_rad
359;0,7758290768;1,2911386490;1,5063033104;1,0297244787
360;1,4152238369;1,0551160574;1,7652559280;0,6406451464
361;1,8334603310;1,2584954500;2,2238225937;0,6015430689
362;2,0126421452;1,7336924076;2,6563918591;0,7110759616
363;1,9113743305;2,0357725620;2,7924401760;0,8169037104
364;1,4865381718;1,7596622705;2,3035204411;0,8693370223
365;0,7653631568;0,8373970985;1,1344666481;0,8303115964
366;-0,1151166558;-0,3814392984;0,3984316587;-1,8638995886
367;-0,9334520102;-1,3457583189;1,6378028393;-2,1772310734
368;-1,4914726019;-1,6363726854;2,2140927315;-2,3099017143
369;-1,7188396454;-1,1969584227;2,0945451260;-2,5333032608
370;-1,6863547564;-0,3008885980;1,7129875422;-2,9650251865
371;-1,5417633057;0,6652303338;1,6791560650;2,7342514992
372;-1,4025603533;1,4361410141;2,0074055195;2,3443653584
373;-1,3069024086;1,9329832792;2,3333277702;2,1653056145
374;-1,2453119755;2,1660170555;2,4984858036;2,0925793648
375;-1,2285765409;2,0898306370;2,4242095947;2,1022589207
376;-1,3112620115;1,5976346731;2,0668442249;2,2580635548
377;-1,5314612389;0,6612010598;1,6681008339;2,7340226173
378;-1,8074592352;-0,5030152798;1,8761484623;-2,8701612949
379;-1,9218759537;-1,4478024244;2,4061877728;-2,4959652424
380;-1,6252484322;-1,7138462067;2,3619275093;-2,3296673298
381;-0,8253847361;-1,1345952749;1,4030561447;-2,1997220516
382;0,2837846875;0,0176660120;0,2843340039;0,0621712357
383;1,2695376873;1,1510723829;1,7136783600;0,7364969254
384;1,6808477640;1,6942291260;2,3865585327;0,7893629074
385;1,3097430468;1,4109247923;1,9251326323;0,8225710988
386;0,3281067014;0,4888488054;0,5887505412;0,9796739817
387;-0,8176112175;-0,6343005896;1,0348069668;-2,4817845821
388;-1,6612221003;-1,5535221100;2,2744426727;-2,3896839619
389;-1,9681353569;-2,0761101246;2,8607325554;-2,3295023441
390;-1,8121004105;-2,2019047737;2,8516824245;-2,2593870163
391;-1,4740114212;-1,9869430065;2,4739954472;-2,2090601921
392;-1,2330143452;-1,4528453350;1,9055403471;-2,2745289803
393;-1,2110146284;-0,6259080172;1,3632011414;-2,6645593643
394;-1,3477680683;0,3553718925;1,3938320875;2,8837859631
395;-1,4926906824;1,1999417543;1,9151986837;2,4644913673
396;-1,5296778679;1,5697927475;2,1918404102;2,3432526588
397;-1,4440599680;1,2750579119;1,9264167547;2,4182679653
398;-1,3136922121;0,4173349738;1,3783887625;2,8339948654
399;-1,2484645844;-0,6606283784;1,4124778509;-2,6548957825
400;-1,3192639351;-1,5655720234;2,0473086834;-2,2710208893
401;-1,5146571398;-2,0572800636;2,5547187328;-2,2054343224
402;-1,7290834188;-2,1153361797;2,7321012020;-2,2560594082
403;-1,7916923761;-1,8510349989;2,5761389732;-2,3399052620
404;-1,5397486687;-1,3713538647;2,0619015694;-2,4139757156
405;-0,9075741172;-0,7215579748;1,1594552994;-2,4698832035
406;-0,0002966457;0,0677111894;0,0677118376;1,5751773119
407;0,9296247959;0,8820806742;1,2815102339;0,7591614127
408;1,5920141935;1,5182342529;2,1998965740;0,7616810799
409;1,8153033257;1,7921202183;2,5508863926;0,7789717317
410;1,6524553299;1,6857086420;2,3605554104;0,7953593731
411;1,3530762196;1,3940105438;1,9426994324;0,8002980351
412;1,2023317814;1,2065635920;1,7033488750;0,7871549129
413;1,3346830606;1,2980639935;1,8618133068;0,7714899778
414;1,6343677044;1,5959472656;2,2843391895;0,7735050321
415;1,8163237572;1,8115880489;2,5653233528;0,7840927839
416;1,6126379967;1,6408329010;2,3006377220;0,7940640450
417;0,9474221468;0,9810974598;1,3638771772;0,8028581142
418;-0,0055099959;0,0014200927;0,0056900540;2,8893518448
419;-0,9339417815;-0,9564087987;1,3367741108;-2,3443100452
420;-1,5619233847;-1,5890109539;2,2281293869;-2,3475980759
421;-1,7886403799;-1,7899476290;2,5304441452;-2,3558292389
422;-1,6991827488;-1,6752632856;2,3861536980;-2,3632826805
423;-1,4852914810;-1,4612891674;2,0836162567;-2,3643400669
424;-1,3210711479;-1,3216069937;1,8686555624;-2,3559918404
425;-1,2806466818;-1,3064692020;1,8294583559;-2,3462135792
426;-1,3412618637;-1,3650832176;1,9137490988;-2,3473927975
427;-1,4259288311;-1,4228516817;2,0143933296;-2,3572747707
428;-1,4686059952;-1,4408876896;2,0574159622;-2,3657209873
429;-1,4538944960;-1,4299579859;2,0392620564;-2,3644945621
430;-1,4075846672;-1,4142826796;1,9953670502;-2,3538208008
431;-1,3753293753;-1,4098290205;1,9695554972;-2,3438081741
432;-1,3845032454;-1,4142434597;1,9791245461;-2,3455686569
433;-1,4225983620;-1,4158993959;2,0071265697;-2,3585546017
434;-1,4550913572;-1,4143164158;2,0291824341;-2,3704037666
435;-1,4493044615;-1,4127112627;2,0239162445;-2,3689796925
436;-1,4083402157;-1,4134986401;1,9953447580;-2,3543665409
